title;answer;type;year;attribution;occurrences;folder;plannedClues;downloadedSources;webSuggestions;providerAssets;processedAssets
1984;1984 (livre, 1948, auteur : George Orwell);livre;1948;auteur : George Orwell;1;data/generated/assets-exemples-livres/oeuvres/livre-1984-1948;3;0;0;2;0
Deux ans de vacances;Deux ans de vacances (livre, 1888, auteur : Jules Verne);livre;1888;auteur : Jules Verne;1;data/generated/assets-exemples-livres/oeuvres/livre-deux-ans-de-vacances-1888;3;0;0;2;0
Et il me parla de cerisiers, de poussières et d'une montagne;Et il me parla de cerisiers, de poussières et d'une montagne (livre, 2016, auteur : Antoine Paje);livre;2016;auteur : Antoine Paje;1;data/generated/assets-exemples-livres/oeuvres/livre-et-il-me-parla-de-cerisiers-de-poussieres-et-d-une-montagne-2016;3;0;0;0;0
Fondation;Fondation (livre, 1942, auteur : Isaac Asimov);livre;1942;auteur : Isaac Asimov;1;data/generated/assets-exemples-livres/oeuvres/livre-fondation-1942;3;0;0;2;0
Guerre et Paix;Guerre et Paix (livre, 1863, auteur : Léon Tolstoï);livre;1863;auteur : Léon Tolstoï;1;data/generated/assets-exemples-livres/oeuvres/livre-guerre-et-paix-1863;3;0;0;1;0
