title;answer;type;year;attribution;occurrences;folder;plannedClues;downloadedSources;webSuggestions;processedAssets
Animal Crossing;Animal Crossing (jeu vidéo, 2001, studio : Nintendo Entertainment Analysis and Development);jeu video;2001;studio : Nintendo Entertainment Analysis and Development;1;data/generated/indices-exemples-jeux-video/oeuvres/jeu-video-animal-crossing-2001;3;0;2;0
Diablo II;Diablo II (jeu vidéo, 2000, studio : Blizzard North);jeu video;2000;studio : Blizzard North;1;data/generated/indices-exemples-jeux-video/oeuvres/jeu-video-diablo-ii-2000;3;0;2;0
Elden Ring;Elden Ring (jeu vidéo, 2022, studio : FromSoftware);jeu video;2022;studio : FromSoftware;1;data/generated/indices-exemples-jeux-video/oeuvres/jeu-video-elden-ring-2022;3;0;2;0
God of War Ragnarök;God of War Ragnarök (jeu vidéo, 2022, studio : Santa Monica Studio);jeu video;2022;studio : Santa Monica Studio;1;data/generated/indices-exemples-jeux-video/oeuvres/jeu-video-god-of-war-ragnarok-2022;3;0;2;0
Gran Turismo 4;Gran Turismo 4 (jeu vidéo, 2004, studio : Polyphony Digital);jeu video;2004;studio : Polyphony Digital;1;data/generated/indices-exemples-jeux-video/oeuvres/jeu-video-gran-turismo-4-2004;3;0;2;0
